iter	Passed	Remaining
0	1	107
1	2	106
2	3	115
3	5	120
4	6	115
5	7	114
6	8	109
7	9	105
8	10	102
9	11	99
10	11	96
11	12	94
12	14	94
13	15	94
14	16	94
15	18	96
16	19	96
17	20	94
18	21	92
19	22	90
20	23	89
21	24	87
22	25	86
23	26	84
24	28	84
25	29	83
26	30	82
27	31	82
28	33	81
29	34	79
30	35	78
31	36	76
32	36	75
33	37	73
34	39	72
35	40	71
36	41	70
37	42	69
38	44	69
39	45	68
40	46	66
41	46	64
42	47	63
43	48	62
44	49	61
45	50	59
46	52	58
47	53	58
48	55	57
49	56	56
50	57	55
51	58	54
52	60	53
53	61	51
54	61	50
55	62	49
56	64	48
57	65	47
58	66	46
59	68	45
60	70	44
61	71	43
62	72	42
63	73	41
64	74	40
65	75	38
66	76	37
67	78	36
68	79	35
69	80	34
70	81	33
71	82	32
72	83	31
73	84	29
74	85	28
75	86	27
76	88	26
77	90	25
78	91	24
79	92	23
80	93	22
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	100	14
87	101	13
88	103	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	113	2
98	114	1
99	116	0
